maxPutTime,maxPutListTime + ,maxGetTime,maxGetListTime,maxDeleteTime,maxDeleteListTime,putRollingAverage,putListRollingAverage,getRollingAverage,getListRollingAverage,deleteRollingAverage,deleteListRollingAverage,putRollingMax,putListRollingMax,getRollingMax,getListRollingMax,deleteRollingMax,deleteListRollingMax,putPrimary,putFailover,putListPrimary,putListFailover,getPrimary,getFailover,getListPrimary,getListFailover,deletePrimary,deleteFailover,deleteListPrimary,deleteListFailover
387,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,4880,4221,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,4980,4221,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,8,0,0,0,0,0,47,0,0,0,0,0,5069,4232,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,5169,4232,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,5269,4232,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,10,0,0,0,0,0,160,0,0,0,0,0,5358,4243,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,5458,4243,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,5558,4243,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,8,0,0,0,0,0,26,0,0,0,0,0,5646,4255,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,5746,4255,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,5846,4255,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,10,0,0,0,0,0,87,0,0,0,0,0,5928,4273,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,6028,4273,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,6128,4273,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,7,0,0,0,0,0,126,0,0,0,0,0,6217,4284,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,6317,4284,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,6417,4284,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,9,0,0,0,0,0,217,0,0,0,0,0,6509,4292,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,6605,4296,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,6705,4296,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,8,0,0,0,0,0,31,0,0,0,0,0,6789,4312,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,6889,4312,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,6989,4312,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,5,0,0,0,0,0,34,0,0,0,0,0,7089,4312,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,5,0,0,0,0,0,29,0,0,0,0,0,7182,4319,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,7282,4319,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,6,0,0,0,0,0,26,0,0,0,0,0,7374,4327,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,4,0,0,0,0,0,38,0,0,0,0,0,7474,4327,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,20,0,0,0,0,0,178,0,0,0,0,0,7513,4388,0,0,0,0,0,0,0,0,0,0
513,0,0,0,0,0,27,0,0,0,0,0,235,0,0,0,0,0,7513,4488,0,0,0,0,0,0,0,0,0,0
513,0,0,0,0,0,29,0,0,0,0,0,271,0,0,0,0,0,7513,4588,0,0,0,0,0,0,0,0,0,0
513,0,0,0,0,0,25,0,0,0,0,0,38,0,0,0,0,0,7513,4688,0,0,0,0,0,0,0,0,0,0
513,0,0,0,0,0,26,0,0,0,0,0,121,0,0,0,0,0,7513,4788,0,0,0,0,0,0,0,0,0,0
513,0,0,0,0,0,25,0,0,0,0,0,27,0,0,0,0,0,7513,4888,0,0,0,0,0,0,0,0,0,0
513,0,0,0,0,0,25,0,0,0,0,0,40,0,0,0,0,0,7513,4988,0,0,0,0,0,0,0,0,0,0
513,0,0,0,0,0,26,0,0,0,0,0,139,0,0,0,0,0,7513,5088,0,0,0,0,0,0,0,0,0,0
513,0,0,0,0,0,24,0,0,0,0,0,26,0,0,0,0,0,7513,5188,0,0,0,0,0,0,0,0,0,0
513,0,0,0,0,0,26,0,0,0,0,0,103,0,0,0,0,0,7513,5288,0,0,0,0,0,0,0,0,0,0
513,0,0,0,0,0,30,0,0,0,0,0,462,0,0,0,0,0,7513,5388,0,0,0,0,0,0,0,0,0,0
513,0,0,0,0,0,28,0,0,0,0,0,326,0,0,0,0,0,7513,5488,0,0,0,0,0,0,0,0,0,0
513,0,0,0,0,0,26,0,0,0,0,0,110,0,0,0,0,0,7513,5588,0,0,0,0,0,0,0,0,0,0
513,0,0,0,0,0,27,0,0,0,0,0,177,0,0,0,0,0,7513,5688,0,0,0,0,0,0,0,0,0,0
551,0,0,0,0,0,31,0,0,0,0,0,551,0,0,0,0,0,7513,5788,0,0,0,0,0,0,0,0,0,0
551,0,0,0,0,0,26,0,0,0,0,0,76,0,0,0,0,0,7513,5888,0,0,0,0,0,0,0,0,0,0
551,0,0,0,0,0,26,0,0,0,0,0,174,0,0,0,0,0,7513,5988,0,0,0,0,0,0,0,0,0,0
551,0,0,0,0,0,25,0,0,0,0,0,46,0,0,0,0,0,7513,6088,0,0,0,0,0,0,0,0,0,0
551,0,0,0,0,0,27,0,0,0,0,0,167,0,0,0,0,0,7513,6188,0,0,0,0,0,0,0,0,0,0
551,0,0,0,0,0,25,0,0,0,0,0,34,0,0,0,0,0,7513,6288,0,0,0,0,0,0,0,0,0,0
551,0,0,0,0,0,25,0,0,0,0,0,27,0,0,0,0,0,7513,6388,0,0,0,0,0,0,0,0,0,0
551,0,0,0,0,0,28,0,0,0,0,0,255,0,0,0,0,0,7513,6488,0,0,0,0,0,0,0,0,0,0
551,0,0,0,0,0,27,0,0,0,0,0,144,0,0,0,0,0,7513,6588,0,0,0,0,0,0,0,0,0,0
551,0,0,0,0,0,24,0,0,0,0,0,27,0,0,0,0,0,7513,6688,0,0,0,0,0,0,0,0,0,0
551,0,0,0,0,0,25,0,0,0,0,0,27,0,0,0,0,0,7513,6788,0,0,0,0,0,0,0,0,0,0
551,0,0,0,0,0,28,0,0,0,0,0,196,0,0,0,0,0,7513,6888,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,32,0,0,0,0,0,573,0,0,0,0,0,7513,6988,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,26,0,0,0,0,0,188,0,0,0,0,0,7513,7088,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,18,0,0,0,0,0,26,0,0,0,0,0,7544,7157,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,6,0,0,0,0,0,9,0,0,0,0,0,7644,7157,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,7,0,0,0,0,0,26,0,0,0,0,0,7740,7161,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,7,0,0,0,0,0,26,0,0,0,0,0,7832,7169,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,7,0,0,0,0,0,37,0,0,0,0,0,7924,7177,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,6,0,0,0,0,0,52,0,0,0,0,0,8021,7180,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,6,0,0,0,0,0,26,0,0,0,0,0,8116,7185,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,6,0,0,0,0,0,26,0,0,0,0,0,8208,7193,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,8308,7193,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,5,0,0,0,0,0,26,0,0,0,0,0,8404,7197,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,6,0,0,0,0,0,26,0,0,0,0,0,8500,7201,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,6,0,0,0,0,0,26,0,0,0,0,0,8596,7205,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,6,0,0,0,0,0,28,0,0,0,0,0,8692,7209,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,8792,7209,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,10,0,0,0,0,0,26,0,0,0,0,0,8860,7241,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,6,0,0,0,0,0,26,0,0,0,0,0,8956,7245,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,7,0,0,0,0,0,26,0,0,0,0,0,9044,7257,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,9144,7257,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,6,0,0,0,0,0,113,0,0,0,0,0,9242,7259,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,5,0,0,0,0,0,49,0,0,0,0,0,9335,7266,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,6,0,0,0,0,0,26,0,0,0,0,0,9427,7274,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,9527,7274,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,5,0,0,0,0,0,25,0,0,0,0,0,9627,7274,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,9724,7277,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,5,0,0,0,0,0,26,0,0,0,0,0,9820,7281,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,4,0,0,0,0,0,23,0,0,0,0,0,9920,7281,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,10017,7284,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,6,0,0,0,0,0,27,0,0,0,0,0,10109,7292,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,8,0,0,0,0,0,56,0,0,0,0,0,10197,7304,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,5,0,0,0,0,0,16,0,0,0,0,0,10297,7304,0,0,0,0,0,0,0,0,0,0
